时间,最高价
2015/12/11,3455.55
2015/12/10,3503.65
2015/12/9,3495.7
2015/12/8,3518.65
2015/12/7,3543.95
2015/12/4,3568.97
2015/12/3,3591.73
2015/12/2,3538.85
2015/12/1,3483.41
2015/11/30,3470.37
2015/11/27,3621.9
2015/11/26,3668.38
2015/11/25,3648.37
2015/11/24,3616.48
2015/11/23,3654.75
2015/11/20,3640.53
2015/11/19,3618.21
2015/11/18,3617.07
2015/11/17,3678.27
2015/11/16,3607.61
2015/11/13,3632.56
2015/11/12,3659.31
2015/11/11,3654.88
2015/11/10,3669.53
2015/11/9,3673.76
2015/11/6,3596.38
2015/11/5,3585.66
2015/11/4,3459.65
2015/11/3,3346.28
2015/11/2,3391.06
2015/10/30,3417.2
2015/10/29,3411.71
2015/10/28,3439.76
2015/10/27,3441.57
2015/10/26,3457.52
2015/10/23,3422.02
2015/10/22,3373.78
2015/10/21,3447.26
2015/10/20,3425.52
2015/10/19,3423.4
2015/10/16,3393.02
2015/10/15,3338.3
2015/10/14,3307.32
2015/10/13,3298.63
2015/10/12,3318.71
2015/10/9,3192.72
2015/10/8,3172.28
2015/9/30,3073.3
2015/9/29,3068.3
2015/9/28,3103.07
2015/9/25,3149.95
2015/9/24,3151.17
2015/9/23,3164.04
2015/9/22,3213.48
2015/9/21,3159.88
2015/9/18,3122.05
2015/9/17,3204.7
2015/9/16,3182.93
2015/9/15,3081.7
2015/9/14,3229.48
2015/9/11,3223.76
2015/9/10,3243.28
2015/9/9,3256.74
2015/9/8,3174.71
2015/9/7,3217.58
2015/9/2,3194.49
2015/9/1,3180.33
2015/8/31,3207.86
2015/8/28,3235.84
2015/8/27,3085.42
2015/8/26,3092.04
2015/8/25,3123.03
2015/8/24,3388.36
2015/8/21,3652.84
2015/8/20,3788.01
2015/8/19,3811.43
2015/8/18,4006.34
2015/8/17,3994.54
2015/8/14,4000.68
2015/8/13,3955.79
2015/8/12,3937.77
2015/8/11,3970.34
2015/8/10,3943.62
2015/8/7,3756.74
2015/8/6,3710.57
2015/8/5,3782.35
2015/8/4,3757.03
2015/8/3,3648.94
2015/7/31,3729.51
2015/7/30,3844.37
2015/7/29,3792.07
2015/7/28,3762.53
2015/7/27,4051.16
2015/7/24,4184.45
2015/7/23,4132.61
2015/7/22,4042.34
2015/7/21,4041.82
2015/7/20,4021.33
2015/7/17,3994.48
2015/7/16,3877.51
2015/7/15,3914.27
2015/7/14,4035.44
2015/7/13,4030.2
2015/7/10,3959.22
2015/7/9,3748.48
2015/7/8,3599.25
2015/7/7,3750.57
2015/7/6,3975.21
2015/7/3,3927.13
2015/7/2,4080.39
2015/7/1,4317.05
2015/6/30,4279.97
2015/6/29,4297.48
2015/6/26,4456.9
2015/6/25,4720.7
2015/6/24,4691.77
2015/6/23,4577.94
2015/6/19,4744.08
2015/6/18,4966.77
2015/6/17,4983.66
2015/6/16,5029.68
2015/6/15,5176.8
2015/6/12,5178.19
2015/6/11,5122.46
2015/6/10,5164.16
2015/6/9,5147.45
2015/6/8,5146.95
2015/6/5,5051.63
2015/6/4,4947.97
2015/6/3,4942.07
2015/6/2,4911.57
2015/6/1,4829.5
2015/5/29,4698.19
2015/5/28,4986.5
2015/5/27,4958.16
2015/5/26,4911.69
2015/5/25,4814.67
2015/5/22,4658.27
2015/5/21,4530.48
2015/5/20,4520.54
2015/5/19,4418.4
2015/5/18,4324.83
2015/5/15,4366.82
2015/5/14,4397.75
2015/5/13,4415.63
2015/5/12,4402.31
2015/5/11,4334.88
2015/5/8,4206.86
2015/5/7,4213.76
2015/5/6,4376.35
2015/5/5,4488.87
2015/5/4,4487.57
2015/4/30,4507.34
2015/4/29,4499.95
2015/4/28,4572.39
2015/4/27,4529.74
2015/4/24,4416.38
2015/4/23,4444.41
2015/4/22,4400.19
2015/4/21,4294.38
2015/4/20,4356
2015/4/17,4317.22
2015/4/16,4195.31
2015/4/15,4175.49
2015/4/14,4168.35
2015/4/13,4128.07
2015/4/10,4040.35
2015/4/9,4016.4
2015/4/8,4000.22
2015/4/7,3961.67
2015/4/3,3864.41
2015/4/2,3835.45
2015/4/1,3817.08
2015/3/31,3835.57
2015/3/30,3795.94
2015/3/27,3710.48
2015/3/26,3707.32
2015/3/25,3693.15
2015/3/24,3715.87
2015/3/23,3688.25
2015/3/20,3632.34
2015/3/19,3600.68
2015/3/18,3577.66
2015/3/17,3504.12
2015/3/16,3449.31
2015/3/13,3391.26
2015/3/12,3360.05
2015/3/11,3325.05
2015/3/10,3309.92
2015/3/9,3307.7
2015/3/6,3266.93
2015/3/5,3266.64
2015/3/4,3286.59
2015/3/3,3317.7
2015/3/2,3336.76
2015/2/27,3324.55
2015/2/26,3300.62
2015/2/25,3257.22
2015/2/17,3255.73
2015/2/16,3228.85
2015/2/13,3237.16
2015/2/12,3181.77
2015/2/11,3166.42
2015/2/10,3142.1
2015/2/9,3119.03
2015/2/6,3129.54
2015/2/5,3251.21
2015/2/4,3238.98
2015/2/3,3207.94
2015/2/2,3175.13
2015/1/30,3288.5
2015/1/29,3286.79
2015/1/28,3354.8
2015/1/27,3390.22
2015/1/26,3384.8
2015/1/23,3406.79
2015/1/22,3352.38
2015/1/21,3337
2015/1/20,3190.25
2015/1/19,3262.21
2015/1/16,3400.32
2015/1/15,3337.08
2015/1/14,3268.48
2015/1/13,3259.39
2015/1/12,3275.19
2015/1/9,3404.83
2015/1/8,3381.57
2015/1/7,3374.9
2015/1/6,3394.22
2015/1/5,3369.28
